i	j	cor	p
cor120	D3	F3	0.379861981731116	0.000603090408657137
cor121	D3	G	0.155555555555556	0.173847877450571
cor122	D3	H	0.394969499831444	0.000345404228503993
cor123	D3	H3	0.195251339282235	0.086693667870308
cor124	D3	I	0.42569603332523	0.000102115275716589
cor125	D3	I3	0.578010831008544	3.0013529312961e-08
cor126	D3	J	0.408248290463863	0.000206943530182951
cor127	D3	K	0.228217732293819	0.0444706082383511
cor128	D3	L	0.320467800368432	0.00423035360605604
cor129	D3	M	0.505181485540923	2.39329799123718e-06
cor130	D3	N	0.412097757095945	0.00017766612252206
cor131	D3	T	0.275682937903459	0.0145657973781305
cor132	D3	U	0.251946445686882	0.0260654919877882
cor133	E	E3	0.591607978309962	1.17213418112005e-08
cor134	E	F	0.535519763512328	4.37402029505489e-07
cor135	E	F3	0.337861210600534	0.00248445482511743
cor136	E	G	0.505181485540923	2.39329799123718e-06
cor137	E	H	0.679986113189405	7.57498168550567e-12
cor138	E	H3	0.648950054910047	1.31355036283677e-10
cor139	E	I	0.588204811677395	1.48917103076439e-08
cor140	E	I3	0.516984262113198	1.2597921838945e-06
cor141	E	J	0.282842712474619	0.0121028538988898
cor142	E	K	0.469949596719468	1.41825883215522e-05
cor143	E	L	0.596489386489752	8.27432926636196e-09
cor144	E	M	0.570833333333333	4.84696614756228e-08
cor145	E	N	0.442053372581328	5.08049680010822e-05
cor146	E	T	0.617142161946458	1.77396368634741e-09
cor147	E	U	0.441026428170498	5.31372996313555e-05
cor148	E3	F	0.474017418845536	1.16637178843579e-05
cor149	E3	F3	0.453866008280654	3.00006113491709e-05
cor150	E3	G	0.346444525896729	0.00188903212888962
cor151	E3	H	0.515482346632201	1.36882100847129e-06
cor152	E3	H3	0.454219979166135	2.95218598168254e-05
cor153	E3	I	0.648361462108601	1.38220957360533e-10
cor154	E3	I3	0.549285249860476	1.91205165672988e-07
cor155	E3	J	0.45418687154707	2.95663349375422e-05
cor156	E3	K	0.543431191888596	2.73083402397141e-07
cor157	E3	L	0.498524147971192	3.40140589284368e-06
cor158	E3	M	0.562027579394464	8.59326441699593e-08
cor159	E3	N	0.408564330344776	0.000204382187659841
cor160	E3	T	0.350258319727074	0.00166839121436061
cor161	E3	U	0.439435374402041	5.69478735165084e-05
cor162	F	F3	0.395446594804452	0.000339229871774232
cor163	F	G	0.420110544827457	0.000128564523780693
cor164	F	H	0.522928147972873	9.03510486514172e-07
cor165	F	H3	0.533562550424326	4.90560152198508e-07
cor166	F	I	0.448396709364251	3.83798542923392e-05
cor167	F	I3	0.398526698493043	0.000301742803280619
cor168	F	J	0.300623238540872	0.0074878332910637
cor169	F	K	0.366270447079805	0.000973791567918926
cor170	F	L	0.44975138220221	3.61224642038541e-05
cor171	F	M	0.527343889260231	7.02900496957896e-07
cor172	F	N	0.33953329668135	0.00235673097266761
cor173	F	T	0.493518744068125	4.40904066706998e-06
cor174	F	U	0.279352799081048	0.0132540589366565
cor175	F3	G	0.0205330800935738	0.85838196857888
cor176	F3	H	0.48219946684871	7.81121655033897e-06
cor177	F3	H3	0.329126374070914	0.00325805285983471
cor178	F3	I	0.394074872196424	0.00035726059705099
cor179	F3	I3	0.584418595889098	1.93738171002612e-08
cor180	F3	J	0.389790660346398	0.000419379586274756
cor181	F3	K	0.238986661774102	0.0350972321747769
cor182	F3	L	0.410279820211978	0.00019098089532922
cor183	F3	M	0.35564337957951	0.00139635133464015
cor184	F3	N	0.236541195249655	0.0370661108869925
cor185	F3	T	0.405321741688889	0.000232104698712825
cor186	F3	U	0.315347291737908	0.00491972212635821
